ENSEMBL Gene ID,Entrez ID,Gene Symbol,isGlycogene
ENSG00000186092,79501,OR4F5,No
ENSG00000284733,81399,OR4F29,No
ENSG00000284662,81399,OR4F16,No
ENSG00000187634,148398,SAMD11,No
ENSG00000188976,26155,NOC2L,No
ENSG00000187961,339451,KLHL17,No
ENSG00000187583,84069,PLEKHN1,No
ENSG00000187642,84808,PERM1,No
ENSG00000188290,57801,HES4,No
ENSG00000187608,9636,ISG15,No
ENSG00000188157,375790,AGRN,No
ENSG00000237330,401934,RNF223,No
ENSG00000131591,54991,C1orf159,No
ENSG00000162571,254173,TTLL10,No
ENSG00000186891,8784,TNFRSF18,No
ENSG00000186827,7293,TNFRSF4,No
ENSG00000078808,51150,SDF4,No
ENSG00000176022,126792,B3GALT6,Yes
ENSG00000184163,388581,C1QTNF12,No
ENSG00000160087,118424,UBE2J2,No
ENSG00000162572,6339,SCNN1D,No
ENSG00000131584,116983,ACAP3,No
ENSG00000169972,126789,PUSL1,No
ENSG00000127054,54973,INTS11,No
ENSG00000224051,80772,CPTP,No
ENSG00000169962,83756,TAS1R3,No
ENSG00000107404,1855,DVL1,No
ENSG00000162576,54587,MXRA8,No
ENSG00000175756,54998,AURKAIP1,No
ENSG00000221978,81669,CCNL2,No
ENSG00000242485,55052,MRPL20,No
ENSG00000235098,441869,ANKRD65,No
ENSG00000205116,643965,TMEM88B,No
ENSG00000179403,64856,VWA1,No
ENSG00000215915,219293,ATAD3C,No
ENSG00000160072,83858,ATAD3B,No
ENSG00000197785,55210,ATAD3A,No
ENSG00000205090,339453,TMEM240,No
ENSG00000160075,29101,SSU72,No
ENSG00000228594,643988,FNDC10,No
ENSG00000197530,142678,MIB2,No
ENSG00000189409,8510,MMP23B,No
ENSG00000248333,984,CDK11B,No
ENSG00000189339,728661,SLC35E2B,No
ENSG00000008128,728642,CDK11A,No
ENSG00000008130,65220,NADK,No
ENSG00000078369,2782,GNB1,No
ENSG00000169885,163688,CALML6,No
ENSG00000178821,339456,TMEM52,No
ENSG00000142609,85452,CFAP74,No
ENSG00000187730,2563,GABRD,No
ENSG00000067606,5590,PRKCZ,No
ENSG00000162585,199990,FAAP20,No
ENSG00000157933,6497,SKI,No
ENSG00000116151,79906,MORN1,No
ENSG00000157916,11079,RER1,No
ENSG00000157911,5192,PEX10,No
ENSG00000149527,9651,PLCH2,No
ENSG00000157881,55229,PANK4,No
ENSG00000197921,388585,HES5,No
ENSG00000157873,8764,TNFRSF14,No
ENSG00000157870,127281,PRXL2B,No
ENSG00000142606,79258,MMEL1,No
ENSG00000215912,100287898,TTC34,No
ENSG00000169717,140625,ACTRT2,No
ENSG00000142611,63976,PRDM16,No
ENSG00000130762,27237,ARHGEF16,No
ENSG00000162591,1953,MEGF6,No
ENSG00000158109,127262,TPRG1L,No
ENSG00000116213,49856,WRAP73,No
ENSG00000078900,7161,TP73,No
